Timestamp,Name,XS S M L XL,Main URL,Documentation URL,Output URL,Description,Code URL,Date of Completion
8/16/2015 1:00:47,Palette Knife,S,http://rossgoodwin.com/paletteknife/,,,"Tool that extracts color palettes from photographs, created entirely in front-end JavaScript using p5.js",https://github.com/rossgoodwin/paletteknife,7/30/2015
8/16/2015 12:05:27,@BizarroMoMA,XS,https://twitter.com/bizarromoma,,,Twitter bot tweeting fictional artworks generated from the Museum of Modern Art's collections data,https://github.com/rossgoodwin/bizarromoma,7/23/2015
8/16/2015 12:10:53,word.camera,XL,https://word.camera,http://www.thehypertext.com/tag/word-camera/,https://word.camera/i/nxDYEXM9R,"As artificial intelligence technology changes our world, it grants us creative possibilities not previously thought possible. word.camera explores one particular AI technology, convolutional neural networks that can generate descriptive words from images, and realizes possibilities for a new type of camera and a new type of photography.",https://github.com/rossgoodwin/photosynthesis,4/11/2015
8/16/2015 12:18:28,Dick Fractal,S,http://dickfractal.com,,,"Dick Fractal, Ph.D.",https://github.com/rossgoodwin/dickfractal,7/5/2015
8/16/2015 12:22:14,Four Oh Four,S,http://rossgoodwin.com/fourohfour.pdf,,,A URLae is a poetic form consisting of a list of URLs. Four Oh Four is a URLae composed entirely of generated links.,https://github.com/rossgoodwin/fourohfour,6/18/2015
8/16/2015 12:29:06,Text Clock,S,http://rossgoodwin.com/clock/,http://www.thehypertext.com/2015/04/11/text-clock/,,The complete Project Gutenberg corpus as a clock,https://github.com/rossgoodwin/clock/tree/gh-pages,12/25/2014
8/16/2015 12:34:49,Fiction Generator,L,http://fictiongenerator.com,http://www.thehypertext.com/tag/fiction-generator/,http://rossgoodwin.com/tricks_of_the_trade.pdf,"Generates novels according to user-defined parameters using content scraped from gutenberg.org, tvtropes.org, scp-wiki.net, and erowid.org.",https://github.com/rossgoodwin/ficgen,12/3/2014
8/16/2015 12:45:21,itpbot,M,http://rossgoodwin.com/itpbot,,,IRC bot for the #itp channel on irc.freenode.com,https://github.com/rossgoodwin/itpbot,8/14/2015
8/16/2015 21:44:05,@GutenFlag,M,https://twitter.com/GutenFlag,http://www.thehypertext.com/2015/03/10/gutenflag/,,Twitter bot that recommends Project Gutenberg ebooks based on topics extracted from users' most recent tweets,https://github.com/rossgoodwin/gutenflag,3/7/2015
8/16/2015 21:45:54,@WraithHimself,XS,https://twitter.com/WraithHimself,,,"Twitter bot tweeting the entirely of Infinite Jest by David Foster Wallace, one word at a time, as the first word of retweets",https://github.com/rossgoodwin/wraithhimself,3/9/2015
8/16/2015 21:48:55,Cut-Up,XS,https://github.com/rossgoodwin/cutup,,,"The Cut-Up Method of Brion Gysin, as described by William S. Burroughs, implemented in Python",,12/15/2014
8/16/2015 22:06:09,The Mechanical Turk's Ghost,XL,http://www.thehypertext.com/2015/01/05/the-mechanical-turks-ghost-part-v/,http://www.thehypertext.com/tag/chess/,,"Chessboard that generates music based on computational analysis of a game in real time, and shakes pieces off the board when it determines either player is within range of checkmate",https://github.com/rossgoodwin/mtg,12/8/2014
8/17/2015 18:04:52,che55,L,https://github.com/rossgoodwin/che55,http://www.thehypertext.com/2014/09/29/general-update/,,"Chess GUI and visualizer, written in Processing",,11/2/2014
8/17/2015 18:15:16,hmap,S,http://rossgoodwin.com/hmap/,,,Image histogram remapping tool; maps the colors from one image onto another image (created with Anthony Kesich),https://github.com/rossgoodwin/hmap,6/12/2014
8/17/2015 18:28:55,MeterMap,M,http://rossgoodwin.com/metermap/,,http://rossgoodwin.com/faulkner_wasteland.txt,Maps clauses from a text corpus onto the metrical structure of a poem.,https://github.com/rossgoodwin/metermap,7/21/2015
8/17/2015 18:35:21,The Traveler's Lamp,XL,http://www.thehypertext.com/2015/05/08/travelers-lamp-part-ii/,http://www.thehypertext.com/tag/travelers-lamp/,,"3D-printed cities inspired by those from Invisible Cities by Italo Calvino, which light up in sequence as a computer solves the Traveling Salesman Problem for the distances between them",,5/8/2015
8/17/2015 18:40:42,Tweeting Points,S,http://rossgoodwin.com/tweetingpoints/,,,Real-time word clouds of the most recent tweets from candidates in the 2016 U.S. Presidential Election,https://github.com/rossgoodwin/tweetingpoints/tree/gh-pages,7/21/2015
8/17/2015 18:45:32,Stenogloves,L,http://www.thehypertext.com/2014/12/09/stenogloves-part-iii/,http://www.thehypertext.com/tag/keyboard/,,10-key chorded keyboard with alternative typing scheme,https://github.com/rossgoodwin/typingtutor,11/25/2014
8/17/2015 18:50:33,Scary Maze Game,M,http://www.thehypertext.com/2014/10/25/scary-maze-game/,,,A biofeedback game that gets harder when you get scared (with Jerllin Chang and Changyeon Lee),https://github.com/dothething/maze,10/13/2014
8/17/2015 18:57:00,Poetizer,L,http://www.thehypertext.com/2014/08/31/poetizer/,,http://www.thehypertext.com/2014/09/02/more-poetizer-output/,Generates free or fixed verse poetry from any text corpus,https://github.com/rossgoodwin/poetizer,8/20/2014
8/17/2015 19:00:17,Dr. Gonzo,M,http://www.thehypertext.com/2015/02/19/dr-gonzo/,,,Hunter S. Thompson therapist chat bot,https://github.com/rossgoodwin/drgonzo,2/17/2015
10/5/2015 21:27:11,so it goes,S,http://rossgoodwin.com/vonnegut/,http://www.thehypertext.com/2015/10/06/so-it-goes/,,"Kurt Vonnegut's complete works, analyzed for sentiment, visualized as interactive TF-IDF word cloud",https://github.com/rossgoodwin/vonnegut,10/6/2015
